Reference, Value, Footprint, Datasheet, Part Number, ESR, NOTE:
C1,30P,Capacitors_SMD:C_0805_HandSoldering,,GRM1885C1H300JA01D,,
C10,47u,Capacitors_SMD:C_0805_HandSoldering,,,,
C11,4.7U,Capacitors_SMD:C_1206_HandSoldering,,GRM31CR71H475KA12L,3.0m,
C12,4.7U,Capacitors_SMD:C_1206_HandSoldering,,GRM31CR71H475KA12L,3m,
C13,100n,Capacitors_SMD:C_0805_HandSoldering,,C0805C104K5RACTU,64m,
C14,100n,Capacitors_SMD:C_0805_HandSoldering,,C0805C104K5RACTU,64m,
C15,22U,Capacitors_SMD:C_0805_HandSoldering,,GRM21BR60J226ME39L,9m,
C16,4.7u,Capacitors_SMD:C_0805_HandSoldering,,C0805C475K8PACTU,4m,
C17,0.1U,Capacitors_SMD:C_0805_HandSoldering,,,,
C18,2.2n,Capacitors_SMD:C_0805_HandSoldering,,,,
C19,10U,,,,,
C2,30P,Capacitors_SMD:C_0805_HandSoldering,,GRM1885C1H300JA01D,,
C20,0.1U,,,,,
C3,1u,Capacitors_SMD:C_0805_HandSoldering,,,,
C4,1u,Capacitors_SMD:C_0805_HandSoldering,,,,
C5,1U,Capacitors_SMD:C_0805_HandSoldering,,,,
C6,560P,Capacitors_SMD:C_0805_HandSoldering,,,,
C7,560P,Capacitors_SMD:C_0805_HandSoldering,,,,
C8,0.1U,Capacitors_SMD:C_0805_HandSoldering,,,,
C9,10n,Capacitors_SMD:C_0805_HandSoldering,,,,
CON1,OBD_PORT,,,,,
D1,LED,LEDs:LED-0805,,APT2012ZGC,,
D10,SMAJ12CA,,,,,
D11,S2A,,,,,
D12,MBR0530T1G,,,,,Create SOD-123 Footprint
D13,MBR0530T1G,,,,,
D14,BAT46,,,,,
D15,BAT46,,,,,
D2,LED,LEDs:LED-0805,,APT2012ZGC,,
D3,LED,LEDs:LED-0805,,APT2012ZGC,,
D4,LED,LEDs:LED-0805,,APT2012ZGC,,
D5,LED,LEDs:LED-0805,,APT2012ZGC,,
D6,LED,LEDs:LED-0805,,APT2012ZGC,,
D7,BAT46,,,,,
D8,BAT46,,,,,
D9,BAT46,,,,,
F1,1206L075/13.2,SMD_Packages:SMD-1206,,,,
JP1,JUMPER,Connect:TESTPOINT,,,,
JP2,JUMPER,Connect:TESTPOINT,,,,
JP3,JUMPER,Connect:TESTPOINT,,,,
L1,47u,,,SDR0604-470KL,,Create SDR0604 Footprint
Q1,MMBT2222,Transistors_SMD:sot23,,,,
Q2,MMBT2222,Transistors_SMD:sot23,,,,
Q3,BSS138,,,,,
Q4,MMBT3646,Transistors_SMD:sot23,,,,
Q5,MMBT2222,Transistors_SMD:sot23,,,,
Q6,MMBT3640,Transistors_SMD:sot23,,,,
Q7,DMN3730U,Transistors_SMD:sot23,,,,
Q8,ZXMP6A13F,Transistors_SMD:sot23,,,,
Q9,ZXMP6A13F,Transistors_SMD:sot23,,,,
R1,100K,Resistors_SMD:R_0805_HandSoldering,,,,
R10,100,Resistors_SMD:R_0805_HandSoldering,,,,
R11,330,Resistors_SMD:R_0805_HandSoldering,,,,
R12,330,Resistors_SMD:R_0805_HandSoldering,,,,
R13,330,Resistors_SMD:R_0805_HandSoldering,,,,
R14,330,Resistors_SMD:R_0805_HandSoldering,,,,
R15,330,Resistors_SMD:R_0805_HandSoldering,,,,
R16,330,Resistors_SMD:R_0805_HandSoldering,,,,
R17,10K,Resistors_SMD:R_0805_HandSoldering,,,,
R18,10K,Resistors_SMD:R_0805_HandSoldering,,,,
R19,1K,Resistors_SMD:R_0805_HandSoldering,,,,
R2,10K,Resistors_SMD:R_0805_HandSoldering,,,,
R20,1K,Resistors_SMD:R_0805_HandSoldering,,,,
R21,10K,Resistors_SMD:R_0805_HandSoldering,,,,
R22,510 0.5W,Resistors_SMD:R_0805_HandSoldering,,,,
R23,510 0.5W,Resistors_SMD:R_0805_HandSoldering,,,,
R24,10K,Resistors_SMD:R_0805_HandSoldering,,,,
R25,10K,Resistors_SMD:R_0805_HandSoldering,,,,
R26,374,Resistors_SMD:R_0805_HandSoldering,,,,
R27,1K,Resistors_SMD:R_0805_HandSoldering,,,,
R28,866,Resistors_SMD:R_0805_HandSoldering,,,,
R29,2.2K,Resistors_SMD:R_0805_HandSoldering,,,,
R3,1K,Resistors_SMD:R_0805_HandSoldering,,,,
R30,10K,Resistors_SMD:R_0805_HandSoldering,,,,
R31,10K,Resistors_SMD:R_0805_HandSoldering,,,,
R32,240,Resistors_SMD:R_0805_HandSoldering,,,,
R33,10K,Resistors_SMD:R_0805_HandSoldering,,,,
R34,2K,Resistors_SMD:R_0805_HandSoldering,,,,
R35,8K,Resistors_SMD:R_0805_HandSoldering,,,,
R36,10K,Resistors_SMD:R_0805_HandSoldering,,,,
R37,10K,Resistors_SMD:R_0805_HandSoldering,,,,
R38,10K,Resistors_SMD:R_0805_HandSoldering,,,,
R39,10K,Resistors_SMD:R_0805_HandSoldering,,,,
R4,47k,Resistors_SMD:R_0805_HandSoldering,,,,
R40,10K,Resistors_SMD:R_0805_HandSoldering,,,,
R41,100K,Resistors_SMD:R_0805_HandSoldering,,,,
R42,100K,Resistors_SMD:R_0805_HandSoldering,,,,
R43,28K,Resistors_SMD:R_0805_HandSoldering,,,,
R44,8.45K,Resistors_SMD:R_0805_HandSoldering,,,,
R45,36K,Resistors_SMD:R_0805_HandSoldering,,,,
R46,6.49K,Resistors_SMD:R_0805_HandSoldering,,,,
R47,62K,Resistors_SMD:R_0805_HandSoldering,,,,
R48,10K,Resistors_SMD:R_0805_HandSoldering,,,,
R49,100K,Resistors_SMD:R_0805_HandSoldering,,,,
R5,10,Resistors_SMD:R_0805_HandSoldering,,,,
R50,100K,Resistors_SMD:R_0805_HandSoldering,,,,
R6,100K,Resistors_SMD:R_0805_HandSoldering,,,,
R7,1K,Resistors_SMD:R_0805_HandSoldering,,,,
R8,4.7K,Resistors_SMD:R_0805_HandSoldering,,,,
R9,100,Resistors_SMD:R_0805_HandSoldering,,,,
U1,STN1110,SMD_Packages:SOIC-28,,,,
U11,MSP430F247,SMD_Packages:TQFP-64,,,,
U12,RN4020,,,,,
U13,microSD,,,,,
U14,JTAG_HEADER,,,,,
U2,10U ESR<5,,,TPSR106K006R1500,,
U3,MCP2551,SMD_Packages:SOIC-8-N,,,,
U4,LM339,SMD_Packages:SOIC-14_N,,,,
U5,LM317AEMP,SMD_Packages:SOT-223,,,,
U6,LMR16006XDDCT,SMD_Packages:SOT-23-6,,,,
U7,LMR16006YDDC,SMD_Packages:SOT-23-6,,,,
U8,33U,,,SRN3015-330M,,
X1,16Mhz,,,403C11E16M00000,,
