Reference, Value, Footprint, Datasheet, ESR
CON1,OBD_PORT,,
R2,10K,Resistors_SMD:R_1206_HandSoldering,
U1,STN1110,SMD_Packages:SOIC-28,
C1,30p,SMD_Packages:SMD-0805,
C2,30p,SMD_Packages:SMD-0805,
X1,16Mhz,Crystals:Crystal_HC49-SD_SMD,
R1,100K,Resistors_SMD:R_1206_HandSoldering,
C3,1u,SMD_Packages:SMD-0805,
C4,1u,SMD_Packages:SMD-0805,
R5,10,Resistors_SMD:R_1206_HandSoldering,
R6,100K,Resistors_SMD:R_1206_HandSoldering,
JP1,JUMPER,,
U2,10U ESR<5,Capacitors_Tantalum_SMD:TantalC_SizeD_EIA-7343_Wave,
R7,1K,Resistors_SMD:R_1206_HandSoldering,
R3,1K,Resistors_SMD:R_1206_HandSoldering,
U3,MCP2551,SMD_Packages:SOIC-8-N,
R8,4.7K,Resistors_SMD:R_1206_HandSoldering,
C5,1U,SMD_Packages:SMD-0805,
R9,100,Resistors_SMD:R_1206_HandSoldering,
R10,100,Resistors_SMD:R_1206_HandSoldering,
C6,560P,SMD_Packages:SMD-0805,
C7,560P,SMD_Packages:SMD-0805,
D1,LED,LEDs:LED-0805,
D2,LED,LEDs:LED-0805,
D3,LED,LEDs:LED-0805,
D4,LED,LEDs:LED-0805,
R11,330,Resistors_SMD:R_1206_HandSoldering,
R12,330,Resistors_SMD:R_1206_HandSoldering,
R13,330,Resistors_SMD:R_1206_HandSoldering,
R14,330,Resistors_SMD:R_1206_HandSoldering,
D5,LED,LEDs:LED-0805,
R15,330,Resistors_SMD:R_1206_HandSoldering,
D6,LED,LEDs:LED-0805,
R16,330,Resistors_SMD:R_1206_HandSoldering,
R22,510 0.5W,Resistors_SMD:R_1206_HandSoldering,
R19,1K,Resistors_SMD:R_1206_HandSoldering,
Q1,BC817-40,SMD_Packages:SOT-23,
R23,510 0.5W,Resistors_SMD:R_1206_HandSoldering,
R20,1K,Resistors_SMD:R_1206_HandSoldering,
Q2,BC817-40,SMD_Packages:SOT-23,
R21,10K,Resistors_SMD:R_1206_HandSoldering,
R17,10K,Resistors_SMD:R_1206_HandSoldering,
R18,10K,Resistors_SMD:R_1206_HandSoldering,
R24,10K,Resistors_SMD:R_1206_HandSoldering,
U5,LM317AEMP,SMD_Packages:SOT-223,
C8,0.1U,SMD_Packages:SMD-0805,
R28,866,Resistors_SMD:R_1206_HandSoldering,
R32,240,Resistors_SMD:R_1206_HandSoldering,
R26,374,Resistors_SMD:R_1206_HandSoldering,
Q3,BSS138,SMD_Packages:SOT-23,
Q6,MMBT3640,SMD_Packages:SOT-23,
R31,10K,Resistors_SMD:R_1206_HandSoldering,
R29,2.2K,Resistors_SMD:R_1206_HandSoldering,
Q4,MMBT3646,SMD_Packages:SOT-23,
R25,10K,Resistors_SMD:R_1206_HandSoldering,
D8,BAT46,Diodes_ThroughHole:Diode_DO-35_SOD27_Horizontal_RM10,
R33,10K,Resistors_SMD:R_1206_HandSoldering,
D9,BAT46,Diodes_ThroughHole:Diode_DO-35_SOD27_Horizontal_RM10,
U4,LM339,SMD_Packages:SOIC-14_N,
R36,10K,Resistors_SMD:R_1206_HandSoldering,
R37,10K,Resistors_SMD:R_1206_HandSoldering,
R40,10K,Resistors_SMD:R_1206_HandSoldering,
R38,10K,Resistors_SMD:R_1206_HandSoldering,
R34,2K,Resistors_SMD:R_1206_HandSoldering,
R35,8K,Resistors_SMD:R_1206_HandSoldering,
R39,10K,Resistors_SMD:R_1206_HandSoldering,
Q5,MMBT3646,SMD_Packages:SOT-23,
R30,10K,Resistors_SMD:R_1206_HandSoldering,
D7,BAT46,Diodes_ThroughHole:Diode_DO-35_SOD27_Horizontal_RM10,
R27,1K,Resistors_SMD:R_1206_HandSoldering,
U6,LMR16006XDDC,SMD_Packages:SOT-23-6,
C9,10n,SMD_Packages:SMD-0805,
D10,TVS,Diodes_SMD:Diode-SMB_Standard,
C10,47u,SMD_Packages:SMD-0805,
F1,PTC_FUSE,,
D11,S2A,Diodes_SMD:Diode-SMB_Standard,
C11,4.7U,SMD_Packages:SMD-0805,,3.0m
C13,100n,SMD_Packages:SMD-0805,,64m
L1,47u,Inductors:SELF-WE-TPC_M,
D12,MBR0530T1G,,
R43,28K,Resistors_SMD:R_1206_HandSoldering,
R44,8.45K,Resistors_SMD:R_1206_HandSoldering,
C15,22U,SMD_Packages:SMD-0805,
U7,LMR16006XDDC,SMD_Packages:SOT-23-6,
C12,4.7U,SMD_Packages:SMD-0805,,3m
C14,100n,SMD_Packages:SMD-0805,,64m
U8,33U,Inductors_NEOSID:Neosid_Inductor_SMS-ME3015,
D13,MBR0530T1G,,
R45,36K,Resistors_SMD:R_1206_HandSoldering,
